"Date","Price","Open","High","Low","Change %"
"Nov 26, 2018","366.585","366.355","366.585","366.355","0.06%"
"Nov 25, 2018","366.355","366.355","366.355","366.355","0.05%"
"Nov 23, 2018","366.180","367.680","367.980","365.380","-0.27%"
"Nov 22, 2018","367.180","367.680","368.180","366.780","-0.35%"
"Nov 21, 2018","368.480","367.180","369.080","367.180","0.57%"
"Nov 20, 2018","366.380","365.180","366.980","363.880","-0.19%"
"Nov 19, 2018","367.080","369.680","369.680","366.980","0.09%"
"Nov 18, 2018","366.745","366.745","366.745","366.745","-0.79%"
"Nov 16, 2018","369.680","366.680","370.000","364.980","0.27%"
"Nov 15, 2018","368.680","373.680","373.680","366.480","-1.72%"
"Nov 14, 2018","375.130","374.830","376.680","374.830","0.08%"
"Nov 13, 2018","374.830","374.180","374.980","373.830","0.17%"
"Nov 12, 2018","374.180","373.180","375.080","373.180","0.25%"
"Nov 11, 2018","373.250","373.250","373.250","373.250","0.02%"
"Nov 09, 2018","373.180","372.680","373.680","370.680","0.67%"
"Nov 08, 2018","370.680","371.680","372.180","370.280","0.00%"
"Nov 07, 2018","370.680","371.680","371.980","370.580","-0.03%"
"Nov 06, 2018","370.780","371.680","371.680","370.030","-0.38%"
"Nov 05, 2018","372.180","371.580","372.880","371.580","0.31%"
"Nov 04, 2018","371.020","371.020","371.020","371.020","-0.02%"
"Nov 02, 2018","371.080","370.680","372.180","370.430","0.11%"
"Nov 01, 2018","370.680","370.180","371.080","370.180","0.14%"
"Oct 31, 2018","370.180","368.680","370.180","368.180","0.35%"
"Oct 30, 2018","368.880","368.680","369.030","368.180","0.33%"
"Oct 29, 2018","367.680","368.680","369.280","367.680","0.32%"
"Oct 28, 2018","366.490","368.320","368.320","366.490","-0.59%"
"Oct 26, 2018","368.680","367.830","369.280","367.680","0.19%"